id,scholarship_id,discipline
580,717,Multidisciplinary
581,718,Multidisciplinary
582,719,Multidisciplinary
583,722,Multidisciplinary
584,723,Multidisciplinary
585,724,Multidisciplinary
586,725,Multidisciplinary
587,726,Multidisciplinary
588,727,Multidisciplinary
589,728,Multidisciplinary
590,729,Multidisciplinary
591,732,Multidisciplinary
592,733,Multidisciplinary
593,734,Multidisciplinary
594,735,Multidisciplinary
595,737,Multidisciplinary
596,738,Multidisciplinary
597,741,Multidisciplinary
598,742,Multidisciplinary
599,744,Multidisciplinary
600,747,Multidisciplinary
601,752,Multidisciplinary
602,760,Multidisciplinary
603,761,Multidisciplinary
604,762,Multidisciplinary
605,766,Multidisciplinary
606,768,Multidisciplinary
607,771,Multidisciplinary
608,772,Multidisciplinary
609,773,Multidisciplinary
610,774,Multidisciplinary
611,775,Multidisciplinary
612,776,Multidisciplinary
613,777,Multidisciplinary
614,780,Multidisciplinary
615,781,Multidisciplinary
616,782,Multidisciplinary
617,783,Multidisciplinary
618,785,Multidisciplinary
619,786,Multidisciplinary
620,787,Multidisciplinary
621,789,Multidisciplinary
622,790,Multidisciplinary
623,791,Multidisciplinary
624,795,Multidisciplinary
625,796,Multidisciplinary
626,797,Multidisciplinary
627,801,Multidisciplinary
628,802,Multidisciplinary
629,803,Multidisciplinary
630,804,Multidisciplinary
631,805,Multidisciplinary
632,806,Multidisciplinary
633,807,Multidisciplinary
634,808,Multidisciplinary
635,812,Multidisciplinary
636,813,Multidisciplinary
637,814,Multidisciplinary
638,815,Multidisciplinary
639,816,Multidisciplinary
640,818,Multidisciplinary
641,820,Multidisciplinary
642,821,Multidisciplinary
643,827,Multidisciplinary
644,831,Multidisciplinary
645,832,Multidisciplinary
646,834,Multidisciplinary
647,836,Multidisciplinary
648,837,Multidisciplinary
649,838,Multidisciplinary
650,839,Multidisciplinary
651,840,Multidisciplinary
652,842,Multidisciplinary
653,845,Multidisciplinary
654,849,Multidisciplinary
655,850,Multidisciplinary
656,851,Multidisciplinary
657,852,Multidisciplinary
658,854,Multidisciplinary
659,855,Multidisciplinary
660,856,Multidisciplinary
661,857,Multidisciplinary
662,858,Multidisciplinary
663,859,Multidisciplinary
664,860,Multidisciplinary
665,862,Multidisciplinary
666,864,Multidisciplinary
667,865,Multidisciplinary
668,866,Multidisciplinary
669,869,Multidisciplinary
670,870,Multidisciplinary
671,872,Multidisciplinary
672,874,Multidisciplinary
673,876,Multidisciplinary
674,879,Multidisciplinary
675,881,Multidisciplinary
676,882,Multidisciplinary
677,885,Multidisciplinary
678,886,Multidisciplinary
679,889,Multidisciplinary
680,891,Multidisciplinary
681,892,Multidisciplinary
682,893,Multidisciplinary
683,895,Multidisciplinary
684,896,Multidisciplinary
685,899,Multidisciplinary
686,901,Multidisciplinary
687,903,Multidisciplinary
688,904,Multidisciplinary
689,905,Multidisciplinary
690,907,Multidisciplinary
691,910,Multidisciplinary
692,911,Multidisciplinary
693,912,Multidisciplinary
694,913,Multidisciplinary
695,914,Multidisciplinary
696,915,Multidisciplinary
697,918,Multidisciplinary
698,919,Multidisciplinary
699,920,Multidisciplinary
700,921,Multidisciplinary
701,922,Multidisciplinary
702,923,Multidisciplinary
703,924,Multidisciplinary
704,925,Multidisciplinary
705,927,Multidisciplinary
706,929,Multidisciplinary
707,931,Multidisciplinary
708,932,Multidisciplinary
709,933,Multidisciplinary
710,934,Multidisciplinary
711,939,Multidisciplinary
712,940,Multidisciplinary
713,941,Multidisciplinary
714,942,Multidisciplinary
715,943,Multidisciplinary
716,944,Multidisciplinary
717,946,Multidisciplinary
718,947,Multidisciplinary
719,949,Multidisciplinary
720,957,Multidisciplinary
721,958,Multidisciplinary
722,961,Multidisciplinary
723,962,Multidisciplinary
724,963,Multidisciplinary
725,968,Multidisciplinary
726,970,Multidisciplinary
727,971,Multidisciplinary
728,972,Multidisciplinary
729,973,Multidisciplinary
730,974,Multidisciplinary
731,976,Multidisciplinary
732,979,Multidisciplinary
733,981,Multidisciplinary
734,982,Multidisciplinary
735,984,Multidisciplinary
736,985,Multidisciplinary
737,986,Multidisciplinary
738,987,Multidisciplinary
739,989,Multidisciplinary
740,990,Multidisciplinary
741,991,Multidisciplinary
742,992,Multidisciplinary
743,993,Multidisciplinary
744,994,Multidisciplinary
745,996,Multidisciplinary
746,1000,Multidisciplinary
747,1001,Multidisciplinary
748,1002,Multidisciplinary
749,1003,Multidisciplinary
750,1004,Multidisciplinary
751,1005,Multidisciplinary
752,1006,Multidisciplinary
753,1007,Multidisciplinary
754,1010,Multidisciplinary
755,1011,Multidisciplinary
756,1012,Multidisciplinary
757,1013,Multidisciplinary
758,1016,Multidisciplinary
759,1017,Multidisciplinary
760,1018,Multidisciplinary
761,1022,Multidisciplinary
762,1026,Multidisciplinary
763,1027,Multidisciplinary
764,1028,Multidisciplinary
765,1029,Multidisciplinary
766,1030,Multidisciplinary
767,1031,Multidisciplinary
768,1032,Multidisciplinary
769,1034,Multidisciplinary
770,1035,Multidisciplinary
771,1036,Multidisciplinary
772,1039,Multidisciplinary
773,1040,Multidisciplinary
774,1041,Multidisciplinary
775,1042,Multidisciplinary
776,1043,Multidisciplinary
777,1044,Multidisciplinary
778,1045,Multidisciplinary
779,1048,Multidisciplinary
780,1049,Multidisciplinary
781,1050,Multidisciplinary
782,1051,Multidisciplinary
783,1052,Multidisciplinary
784,1053,Multidisciplinary
785,1054,Multidisciplinary
786,1057,Multidisciplinary
787,1058,Multidisciplinary
788,1059,Multidisciplinary
789,1060,Multidisciplinary
790,1064,Multidisciplinary
791,1066,Multidisciplinary
792,1067,Multidisciplinary
793,1070,Multidisciplinary
794,1073,Multidisciplinary
795,1074,Multidisciplinary
796,1075,Multidisciplinary
797,1076,Multidisciplinary
798,1078,Multidisciplinary
799,1079,Multidisciplinary
800,1080,Multidisciplinary
801,1081,Multidisciplinary
802,1082,Multidisciplinary
803,1083,Multidisciplinary
804,1084,Multidisciplinary
